Date,Open,High,Low,Close,Volume
24-01-2025,198.1,200.9,198,200.21,23877521
23-01-2025,198.14,200.3,195.2,197.98,26951357
22-01-2025,199.06,200.48,197.53,198.37,26200617
21-01-2025,199.07,202.29,197.87,198.05,29971292
17-01-2025,196.53,197.23,193.75,196,27735089
16-01-2025,194.14,195.48,192.81,192.91,17815432
15-01-2025,193.09,196.36,191.86,195.55,21775969
14-01-2025,191.24,191.98,188.3082,189.66,17174854
13-01-2025,190.07,191.18,187.36,191.01,21823699
10-01-2025,194.295,196.52,190.31,192.04,26665206
08-01-2025,192.57,196.29,192.38,193.95,24864766
07-01-2025,197.11,201,194.6,195.49,26487244
06-01-2025,193.98,198.2222,193.85,196.87,29563638
03-01-2025,191.37,193.21,189.975,191.79,18596159
02-01-2025,190.65,192,187.5,189.43,20370828
31-12-2024,191.075,191.96,188.51,189.3,17466919
30-12-2024,189.8,192.55,189.12,191.24,14264659
27-12-2024,194.95,195.32,190.65,192.76,18891362
26-12-2024,195.15,196.748,194.375,195.6,12057210
24-12-2024,194.84,196.11,193.78,196.11,10403259
23-12-2024,192.62,195.1,190.15,194.63,25675014
20-12-2024,185.78,192.89,185.22,191.41,63462934
19-12-2024,191.625,193.03,188.38,188.51,32265241
18-12-2024,195.22,197,187.74,188.4,34166074
17-12-2024,197.25,201.42,194.98,195.42,43504025
16-12-2024,192.87,199,192.62,196.66,44934901
13-12-2024,191.01,192.73,189.64,189.82,25143495
12-12-2024,195,195.18,191.71,191.96,34817486
11-12-2024,185.31,195.61,184.85,195.4,67894071
10-12-2024,182.845,186.36,181.05,185.17,54813022
09-12-2024,173.96,176.26,173.65,175.37,25389631
06-12-2024,172.03,175.08,171.86,174.71,21462393
05-12-2024,175.36,176.06,172.33,172.64,21356243
04-12-2024,171.145,174.91,171.06,174.37,31615137
03-12-2024,171.49,172.68,170.85,171.34,22248705
02-12-2024,168.765,172.075,168.57,171.49,23789084
29-11-2024,168.5,169.43,167.16,168.95,14257244
27-11-2024,169,169.4832,168.02,169.23,19266511
26-11-2024,167.63,169.82,167.58,169.12,20486720
25-11-2024,166.09,168.63,165.6072,167.65,33135263
22-11-2024,165.85,166.46,163.9,164.76,38604587
21-11-2024,173.9,174.13,163.7,167.63,59734379
20-11-2024,177.34,177.675,173.78,175.98,18997111
19-11-2024,173.72,178.87,173.56,178.12,23434925
18-11-2024,173.42,175.438,172.9,175.3,20206613
15-11-2024,173.73,174.14,171.22,172.49,32504649
14-11-2024,178.28,178.82,174.3218,175.58,31007457
13-11-2024,180.46,180.96,178.54,178.88,23184003
12-11-2024,179.82,182.49,179.39,181.62,25134905
11-11-2024,178.58,180.545,178.47,180.35,17450354
08-11-2024,180.645,180.9,178.08,178.35,22006182
07-11-2024,177.41,181.08,177.19,180.75,25352939
06-11-2024,173.8,176.94,173.5,176.51,33695538
05-11-2024,169.43,170.53,168.84,169.74,18242050
04-11-2024,169.93,170.73,168.011,169.24,21492744
01-11-2024,170.07,172.32,168.88,171.29,31796477
31-10-2024,173.13,176.82,171,171.11,44768981
30-10-2024,180.68,182.02,174.0599,174.46,68890787
29-10-2024,167.73,170.38,167.0896,169.68,42169025
28-10-2024,168.75,168.75,163.95,166.72,32138641
25-10-2024,163.67,165.59,163.42,165.27,19828884
24-10-2024,162.83,163.33,161.01,162.72,22412527
23-10-2024,164.76,165.82,161.925,162.78,18280518
22-10-2024,162.98,165.77,162.98,165.14,16568121
21-10-2024,162.95,164.5,162.62,164.07,20946455
18-10-2024,163.19,164.71,163.08,163.42,19757661
17-10-2024,165.73,166.37,162.76,162.93,21453395
16-10-2024,164.53,165.8,163.74,165.16,16406030
15-10-2024,165.785,167.68,164.625,165.46,20247195
14-10-2024,163.64,166.226,163.4,164.96,19016141
11-10-2024,162.13,163.9,161.235,163.24,15344251
10-10-2024,160.87,163.07,160.395,162.08,14144068
09-10-2024,163.45,164.84,159.74,161.86,31181774
08-10-2024,163.94,164.725,162.87,164.38,23072733
07-10-2024,167.72,168.48,162.75,162.98,22463140
04-10-2024,168.06,168.23,165.48,167.06,19093724
03-10-2024,164.41,166.64,163.923,165.86,15073101
02-10-2024,166.42,167.52,164.73,165.86,17760179
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
